ID	LINK
SLES_508.13	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-50813_295D2F91.pnach
SLES_508.32	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-50832_A7E91CE8.pnach
SLES_508.37	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-50837_AE0979D3.pnach
SLES_510.95	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-51095_8E2021E8.pnach
SLES_511.43	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-51143_CA5967E2.pnach
SLES_514.03	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-51403_A3AE7C2A.pnach
SLES_514.68	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-51468_A6698B41.pnach
SLES_514.68	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-51468_BADCA543.pnach
SLES_514.70	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-51470_6EEE06DD.pnach
SLES_514.70	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-51470_BADCA543.pnach
SLES_516.87	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-51687_D8A68BBA.pnach
SLES_518.44	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-51844_FD32030F.pnach
SLES_518.59	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-51859_30BE71D7.pnach
SLES_519.89	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-51989_BF45EFF4.pnach
SLES_521.03	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-52103_2F1F3758.pnach
SLES_522.16	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-52216_50DFAD38.pnach
SLES_522.47	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-52247_36ECD588.pnach
SLES_522.80	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-52280_E185C725.pnach
SLES_522.86	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-52286_542766CA.pnach
SLES_523.42	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-52342_1A2D3CC7.pnach
SLES_523.62	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-52362_5D0235B7.pnach
SLES_525.52	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-52552_BCCAB4C0.pnach
SLES_525.57	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-52557_00ACE936.pnach
SLES_525.89	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-52589_89920FD9.pnach
SLES_526.42	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-52642_A1FD63D6.pnach
SLES_528.57	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-52857_38351989.pnach
SLES_528.96	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-52896_34DA05D2.pnach
SLES_530.29	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-53029_72DC82B5.pnach
SLES_530.31	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-53031_72DC82B5.pnach
SLES_531.56	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-53156_9A03A3DD.pnach
SLES_532.19	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-53219_0FECA8E8.pnach
