game count 912
﻿Akira Psycho Ball 	 SLES_509.19
﻿Circus Maximus: Chariot Wars 	 SLES_509.35
Das Ding aus einer anderen Welt 	 SLES_509.76
﻿The Scorpion King: Rise of the Akkadian 	 SLES_509.87
﻿Knight Rider: The Game 	 SLES_510.11
﻿Burnout 2: Point of Impact 	 SLES_510.44
﻿Midnight Club II 	 SLES_510.54
﻿Grand Theft Auto: Vice City 	 SLES_510.61
Grand Theft Auto: Vice City 	 SLES_510.61
﻿Zone of the Enders: The 2nd Runner 	 SLES_511.13
﻿Sega Soccer Slam 	 SLES_511.25
Red Faction II 	 SLES_511.33
﻿LEGO Island Xtreme Stunts 	 SLES_511.53
Enter The Matrix 	 SLES_512.03
﻿Virtua Tennis 2 	 SLES_512.32
﻿Raging Blades 	 SLES_512.35
﻿Gungrave 	 SLES_512.36
XIII 	 SLES_512.44
﻿Shox: Rally Reinvented 	 SLES_512.50
Die Sims 	 SLES_512.57
Contra - Shattered Soldier 	 SLES-512.84
﻿Bomberman Kart 	 SLES_513.02
﻿Ben Hur: Blood of Braves 	 SLES_513.50
Silent Hill 3 	 SLES_514.34
Tom Clancy's Splinter Cell 	 SLES_514.66
﻿Pro Beach Soccer 	 SLES_514.92
﻿Cel Damage: Overdrive 	 SLES_515.54
﻿Broken Sword - The Sleeping Dragon 	 SLES_515.57
Resident Evil - Outbreak 	 SLES_515.89
Virtua Fighter 4 - Evolution 	 SLES_516.16
﻿XGRA: Extreme G Racing Association 	 SLES_516.36
Dynasty Warriors 4 	 SLES_516.63
﻿Maximo vs. Army of Zin 	 SLES_517.59
﻿Harry Potter: Quidditch World Cup 	 SLES_517.87
Final Fantasy X-2 	 SLES_518.15
Final Fantasy X-2 	 SLES_518.17
﻿Monster Attack 	 SLES_518.56
﻿The Simpsons: Hit & Run 	 SLES_518.97
﻿Choro Q HG 3: Gadget Racers 	 SLES_519.11
﻿Onimusha Blade Warriors 	 SLES_519.13
﻿Onimusha 3: Demon Siege 	 SLES_519.14
Beyond Good & Evil 	 SLES_519.17
Prince of Persia - The Sands of Time 	 SLES_519.18
﻿Gregory Horror Show 	 SLES_519.33
R-Type Final 	 SLES_519.52
﻿Need for Speed: Underground 	 SLES_519.67
﻿Tak and the Power of Juju 	 SLES_520.11
Der Herr der Ringe - Die Rückkehr des Königs 	 SLES_520.18
Manhunt 	 SLES_520.23
MX Unleashed 	 SLES_520.43
007 - Alles oder Nichts 	 SLES_520.46
Die Sims brechen aus 	 SLES_520.47
﻿Harry Potter and the Philosopher's Stone 	 SLES_520.55
Flipnic - Ultimate Pinball 	 SLES_520.65
Gradius V 	 SLES_520.95
﻿Underworld: The Eternal War 	 SLES_521.09
﻿Castlevania 	 SLES_521.18
﻿Kaan: Barbarian's Blade 	 SLES_521.79
Project Zero II - Crimson Butterfly 	 SLES_523.84
﻿Harry Potter and the Prisoner of Azkaban 	 SLES_524.40
﻿Hyper Street Fighter II - The Anniversary Edition 	 SLES_524.44
﻿Knights of the Temple - Infernal Crusade 	 SLES_524.48
﻿Conan 	 SLES_524.51
Disgaea - Hour Of Darkness 	 SLES_524.58
﻿Bujingai: Swordmaster 	 SLES_524.95
ObsCure 	 SLES_525.08
﻿Adiboo and the Energy Thieves 	 SLES_525.21
﻿Crimson Tears 	 SLES_525.34
﻿Grand Theft Auto: San Andreas 	 SLES_525.41
Burnout 3 - Takedown 	 SLES_525.85
﻿Colin McRae Rally 2005 	 SLES_526.36
Leisure Suit Larry - Magna Cum Laude 	 SLES_526.43
Viewtiful Joe 	 SLES_526.78
Psi-Ops - The Mindgate Conspiracy 	 SLES_527.02
Mortal Kombat - Deception 	 SLES_527.06
Monster Hunter 	 SLES_527.07
NBA Live 2005 	 SLES_527.13
